State/UT,Year,Rural,Urban,Total Population,Tot_Male,Tot_Female,Male_Literacy,Female_Litracy,Polulation_Literacy,Litracy_rate,Area (km2),MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Total Crimes,tot_crimes_sc,total crime against women,Total crimes against STs,Total crime against children,Crime Rate
GUJARAT,2001,31740767,18930250,50671017,26385577,24285440,17833273,11994477,29827750,69.14,196024,1226,537,94,286,0,286,998,857,141,327,19,991,5142,15834,5504,10330,1930,1748,1779,55,449,13760,67,756,111,3667,0,2924,50719,103419,223956,1242,5744,309,572,204.0989231
HARYANA,2001,15029260,6115304,21144564,11363953,9780611,7480209,4613468,12093677,67.91,44212,781,467,78,398,0,398,449,297,152,77,141,397,3109,6117,3022,3095,750,556,1016,37,203,4744,285,478,401,1513,0,856,15906,38759,84482,283,3372,0,363,183.3047964
HIMACHAL PRADESH,2001,5482319,595581,6077900,3087940,2989960,2278386,1763235,4041621,76.48,55673,119,75,11,124,0,124,126,105,21,4,0,28,844,600,142,458,628,69,146,2,134,1403,10,310,14,317,0,483,6052,11499,23848,92,880,4,82,189.193636
JAMMU & KASHMIR,2001,7627062,2516638,10143700,5360926,4782774,3060628,1746658,4807286,55.52,222236,1075,1474,33,169,0,169,606,504,102,24,0,161,1345,1919,633,1286,1072,90,391,15,437,318,13,622,288,50,0,357,9046,19505,41704,2,1646,0,28,192.2868381
JHARKHAND,2001,20952088,5993741,26945829,13885037,13060792,7646857,4130344,11777201,53.56,79714,1507,866,143,567,0,567,441,279,162,636,48,647,1266,3827,754,3073,2018,283,554,23,165,2254,217,297,5,484,2,420,8777,25447,55729,158,1851,282,41,94.4376215
KARNATAKA,2001,34889033,17961529,52850562,26898918,25951644,17661211,12773751,30434962,66.06,191791,1626,1475,74,293,0,293,559,271,288,178,36,847,6394,12868,4016,8852,6686,494,2678,131,352,23285,220,1665,81,1755,0,100,47301,109098,231916,1621,4285,276,68,206.4273224
KERALA,2001,23574449,8266925,31841374,15468614,16372760,12753602,12732086,25485688,90.86,38863,472,615,111,562,0,562,183,97,86,176,13,517,4474,5441,1795,3646,8108,428,2756,239,768,19829,27,1942,81,2561,0,0,54544,103847,213880,499,5270,83,247,326.1385642
LAKSHADWEEP,2001,33683,26967,60650,31131,29519,24511,20172,44683,86.66,32,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,10,1,1,0,0,2,3,0,0,0,0,0,0,17,36,82,0,0,0,1,59.3569662
MADHYA PRADESH,2001,44380878,15967145,6038023,31443652,28904371,19672274,11920289,31592563,63.74,308245,2425,2870,125,2851,0,2851,956,668,288,166,130,1764,13549,20263,4535,15728,3395,481,1413,19,1014,30895,609,7063,751,2562,0,3297,85143,181741,387552,4212,14504,1535,1425,3009.942162
MAHARASHTRA,2001,55777647,41100980,968786,50400596,46478031,37184963,26780980,63965943,76.84,307713,2839,1454,101,1302,0,1302,985,611,374,529,328,2239,15073,39866,8873,30993,6719,1542,4273,265,1208,30212,308,2823,1120,6090,1,8993,42963,171233,384619,625,12255,238,1621,17675.00769
MANIPUR,2001,1590820,575968,2166788,1095634,1071154,753466,557068,1310534,70.5,22327,209,168,5,20,0,20,94,62,32,20,17,19,75,217,71,146,131,33,66,20,64,201,0,21,0,5,0,7,1097,2489,5309,0,108,0,0,114.8704903
MEGHALAYA,2001,1864711,454111,2318822,1176087,1142735,614272,543603,1157875,62.56,22429,0,47,2,26,0,26,55,11,44,97,3,125,170,271,16,255,8,19,29,3,26,102,0,25,0,4,0,0,511,1687,3562,0,66,0,0,72.75245793
MIZORAM,2001,447567,441006,888573,459109,429464,350105,311340,661445,88.8,21081,31,15,5,52,0,52,2,1,1,3,0,23,417,878,17,861,3,23,71,12,24,94,0,52,0,16,3,23,499,2246,5424,1,124,10,0,252.7648263
NAGALAND,2001,1647249,342787,1990036,1047141,942895,640201,492122,1132323,66.59,1483,101,39,9,17,0,17,23,6,17,11,0,129,163,258,89,169,2,20,34,2,1,37,0,6,0,0,0,19,363,1234,2766,1,29,310,0,62.00892848
ODISHA,2001,31287422,5517238,36804660,18660570,18144090,11992333,7844722,19837055,63.08,155707,987,1151,53,790,0,790,522,434,88,199,22,958,3093,5622,817,4805,1426,285,681,10,423,4367,294,1655,458,1266,0,1589,20810,46661,100256,27,4331,0,68,126.7801414
PUDUCHERRY,2001,325726,648619,974345,486961,487384,378758,317609,696367,81.24,479,25,32,1,9,0,9,4,3,1,1,0,4,111,528,284,244,100,5,23,3,31,635,1,35,27,3,0,166,2324,4068,8677,0,111,0,5,417.5112511
PUNJAB,2001,16096488,8262511,24358999,12985045,11373954,8442293,6314677,14756970,69.65,50362,738,789,80,298,0,298,513,324,189,45,84,131,1902,3023,1204,1819,1,368,2621,58,63,3996,159,372,47,1128,0,2154,9204,27774,59382,0,2249,0,123,114.0194636
RAJASTHAN,2001,43292813,13214375,56507188,29420011,27087177,18047157,9654853,27702010,60.41,342239,1259,1923,63,1049,0,1049,2718,2165,553,60,40,889,7284,16939,4324,12615,11214,1026,6644,89,1092,27485,376,2878,56,5532,1,4221,62347,155185,331076,0,11934,1023,218,274.6287782
SIKKIM,2001,480981,59870,540851,288484,252367,137745,96390,234135,68.81,7096,19,11,7,8,0,8,6,2,4,0,0,3,76,74,6,68,3,1,13,0,1,35,0,0,14,0,0,7,166,444,976,5,28,6,5,82.09284997
TAMIL NADU,2001,34921681,27483998,62405679,31400909,31004770,22809662,17714883,40524545,73.45,130058,1662,2204,19,423,0,423,952,607,345,158,6,672,5965,16709,4478,12231,5196,360,2139,104,980,28429,191,1773,1012,815,14,8550,76468,154801,327686,0,6138,9,61,248.0559502
TRIPURA,2001,2653453,545750,3199203,1642225,1556978,1150707,871392,2022099,73.19,10486,240,25,0,102,0,102,93,35,58,26,0,63,198,259,6,253,138,4,17,6,31,412,16,58,0,227,0,31,855,2801,6056,0,536,0,0,87.55305618
UTTAR PRADESH,2001,131658339,34539582,166197921,87565369,78632552,48901413,26817871,75719284,56.27,240928,7601,7964,1186,1958,0,1958,4330,2879,1451,905,38,3825,8411,27011,6189,20822,7343,3430,5363,147,812,17816,2211,2870,2575,7365,0,7129,57839,178129,389557,0,15317,254,3709,107.1788377
UTTARAKHAND,2001,6310275,2179074,8489349,4325924,4163425,3008875,2096907,5105782,71.62,53483,316,279,38,74,0,74,183,126,57,32,3,191,533,1419,374,1045,440,171,318,4,30,830,56,103,84,301,0,441,2227,8073,17822,0,869,18,46,95.09563101
WEST BENGAL,2001,57748946,22427251,80176197,41465985,38710212,27452426,19743975,47196401,68.64,88752,1594,449,581,709,0,709,875,695,180,274,421,660,426,14245,2562,11683,3095,486,1216,102,102,3658,265,954,48,3859,3,2281,25260,61563,138955,0,8338,2,167,76.78463472
A& N ISLANDS,2002,241609,116999,358609,193936,164583,148446,108430,256932,81.7,8249,17,3,1,2,0,2,2,1,1,1,0,7,49,49,2,47,11,4,11,0,2,97,0,17,3,4,0,0,328,608,1269,0,27,1,0,169.543988
ANDHRA PRADESH,2002,56010478,21037839,77048317,38901128,38127248,23937128,17066668,40852812,61.07,275045,2525,1644,165,1002,0,1002,1302,854,448,197,3,648,7628,19222,3544,15678,2140,1050,6733,155,991,39839,449,3799,2024,7018,0,8691,36385,143610,308746,3385,17075,525,333,186.3895353
ARUNACHAL PRADESH,2002,890099,233122,1123221,592119,531495,314994,192575,507569,55.3,83743,61,38,6,38,0,38,57,38,19,22,0,96,249,395,51,344,21,23,29,5,20,401,0,68,2,13,0,0,684,2228,4946,0,148,87,6,198.3581147
ASSAM,2002,23587748,3494268,27082016,13983692,13100001,8401603,6059723,14461326,64,78438,1253,479,55,970,0,970,1595,1276,319,473,18,607,2504,5555,496,5059,3014,558,719,57,438,4764,70,984,7,1694,0,1957,8575,36346,80812,47,5636,39,14,134.2071432
BIHAR,2002,76025993,8881481,84907474,44281646,40669072,21552728,11218695,32771423,48.3,94163,3712,3526,396,1040,0,1040,2361,744,1617,1289,141,2288,3188,10145,1131,9014,8675,1215,1811,72,600,8770,927,621,6,1577,38,2497,39145,94040,201626,1579,6847,57,57,110.7558564
CHANDIGARH,2002,93593,821451,915045,514035,401570,389957,267854,657811,82.3,114,31,35,7,18,0,18,54,47,7,1,1,26,336,1647,617,1030,78,35,181,5,5,107,1,36,28,56,0,7,1111,3806,9331,0,179,0,49,415.9358283
CHHATTISGARH,2002,16997665,4273647,21271312,10694176,10577136,6899314,4635762,11535076,65.19,135191,844,453,24,992,0,992,178,154,24,144,6,326,3731,4302,889,3413,817,96,393,18,235,4484,85,1483,147,653,0,963,17576,37950,81372,443,3747,508,733,178.4093055
D & N HAVELI,2002,177678,52733,230411,127627,102974,77343,34866,112209,59.3,491,11,2,0,4,0,4,9,5,4,3,0,1,38,75,38,37,5,12,10,0,2,29,0,3,0,3,0,0,142,349,786,0,22,0,0,151.4684629
DAMAN & DIU,2002,105293,59871,165164,97137,67991,75109,38658,113767,79.03,112,11,2,0,4,0,4,9,5,4,3,0,1,38,75,38,37,5,12,10,0,2,29,0,3,0,3,0,0,142,349,786,0,6,0,0,211.305127
DELHI,2002,962676,13150989,14113665,7734274,6384370,5831966,4098690,9930656,82.11,16579,531,440,68,403,0,403,1323,893,430,47,67,502,2360,16625,7434,9191,139,444,2098,46,57,1851,135,446,128,135,0,416,20876,49137,116625,16,3543,0,697,348.1519506
GOA,2002,682507,675941,1358447,692127,666099,548065,453865,1001930,82.42,3702,30,20,4,12,0,12,9,5,4,5,0,24,376,496,146,350,79,27,78,3,25,236,2,18,6,8,0,202,780,2440,5397,2,104,0,31,179.6168713
GUJARAT,2002,32312100,19270994,51583095,26834131,24698292,18368271,12462261,30830532,70.86,196024,1532,759,13,267,0,267,1015,807,208,804,12,1098,5327,15742,6195,9547,3665,1385,1457,46,1915,13531,62,750,104,3321,0,3258,50612,106675,230374,1370,6178,340,710,206.8022479
HARYANA,2002,15299775,6225379,21525166,11557140,9976223,7682174,4798006,12480180,68.86,44212,760,487,89,361,1,360,427,290,137,61,162,330,3048,5962,2955,3007,700,579,933,32,199,4514,256,454,1424,1565,0,955,16854,40152,87054,227,4208,5,235,186.5351468
HIMACHAL PRADESH,2002,5548106,602727,6150833,3125921,3027633,2321675,1809079,4130754,76.38,55673,123,86,6,137,0,137,138,116,22,0,1,18,710,564,142,422,646,75,137,0,145,1476,6,326,12,234,0,482,6921,12243,25325,91,812,3,91,199.0462105
JAMMU & KASHMIR,2002,7794857,2572004,10366861,5478866,4887995,3161628,1833990,4995618,57.74,222236,1048,1240,31,192,0,192,674,596,78,42,0,163,1321,2020,664,1356,996,91,382,20,386,366,18,785,368,54,0,380,9390,19967,42820,1,2195,6,42,192.6041065
JHARKHAND,2002,21371129,6113615,27484744,14162737,13335068,7922143,4382294,12304437,54.79,79714,1488,1143,115,797,0,797,468,178,290,580,55,780,1419,4374,560,3814,2281,333,441,6,167,2294,275,411,3,588,36,416,12969,31439,68517,125,2288,124,111,114.3870942
KARNATAKA,2002,35412368,18230951,53643320,27275502,26340918,18102741,13233606,31336347,66.09,191791,1627,1576,55,292,0,292,645,300,345,178,66,972,6480,13818,4376,9442,6838,485,2764,175,437,22824,233,1648,100,1826,0,152,50508,113699,242153,1787,3916,240,114,211.9536971
KERALA,2002,23692321,8308259,32000580,15522754,16470996,12842877,12897603,25740480,91.22,38863,454,562,210,499,0,499,162,91,71,137,4,610,4624,5743,1978,3765,8090,357,2924,135,452,19033,17,2123,102,2836,0,32,55094,104200,214804,524,6268,102,240,325.6190982
LAKSHADWEEP,2002,33885,27128,61013,31324,29696,24854,20575,45397,87.39,32,0,0,0,1,0,1,0,0,0,0,0,0,9,12,0,12,18,0,0,0,2,5,0,1,0,0,0,0,5,53,119,1,1,0,0,86.86673332
MADHYA PRADESH,2002,45224114,16270520,61494634,32009637,29482458,20164080,12397100,32561180,66.09,308245,2395,2864,194,2891,0,2891,964,639,325,136,142,1829,13344,20759,4845,15914,3178,507,1240,54,1053,29955,674,7118,783,3117,0,3679,94923,191799,408212,7217,15140,2504,2329,311.8955062
MAHARASHTRA,2002,56614311,41717494,98331805,51131404,47189144,37928662,27611190,65539852,77.37,307713,2768,1435,93,1352,1,1351,953,650,303,548,271,2136,14471,37606,9122,28484,6360,1468,4145,176,1269,29250,303,2686,769,5353,0,9407,42643,165462,370835,634,11828,271,1860,168.269056
MANIPUR,2002,1617863,585759,2203622,1125216,1101146,781344,582136,1363480,71.17,22327,165,160,3,14,0,14,157,82,75,3,8,6,44,255,115,140,64,28,72,12,48,378,0,58,0,10,0,25,1074,2584,5594,0,134,0,0,117.2614904
MEGHALAYA,2002,1911328,465463,2376791,1204313,1171303,639457,570239,1209696,63.62,22429,167,58,3,38,0,38,52,10,42,64,2,109,154,392,51,341,9,9,33,8,23,89,0,23,0,0,0,12,419,1664,3810,0,113,2,1,70.01036271
MIZORAM,2002,456965,450267,907232,467832,439556,358157,319434,677591,89.05,21081,29,26,5,76,0,76,7,2,5,5,0,7,446,999,30,969,1,26,85,16,27,112,0,73,0,3,0,13,864,2820,6722,0,86,40,0,310.8355966
NAGALAND,2002,1644150,3422545,1988036,1045221,9434252,644525,498920,1142521,67.12,1483,100,34,5,17,0,17,27,4,23,21,0,110,128,257,81,176,5,10,21,3,6,53,0,1,0,0,0,24,292,1114,2529,17,22,371,0,56.03520258
ODISHA,2002,31694158,5588962,37283120,18901291,18389035,12268156,8158510,20426666,64.05,155707,1075,1372,58,691,0,691,523,432,91,246,30,945,2884,5268,1028,4240,1598,246,793,12,405,4947,248,1605,188,1167,0,2672,20755,47728,101938,1195,24,0,56,128.0150374
PUDUCHERRY,2002,333869,664834,998703,498161,500445,388984,329042,718026,81.68,479,29,43,2,6,0,6,10,6,4,2,0,6,129,526,258,268,193,11,31,3,22,1093,5,59,26,9,0,190,2042,4437,9416,18,4523,0,17,444.2762263
PUNJAB,2002,16305742,8369923,24675665,13140865,11533189,8619581,6485173,15104754,70.24,50362,733,728,79,299,0,299,551,354,197,50,83,110,1928,2963,1267,1696,2,373,2716,39,68,4453,166,341,145,944,0,2310,9713,28794,61401,131,103,0,161,116.6898643
RAJASTHAN,2002,44158669,13478662,57637331,29978991,27620794,18534430,10050701,28585131,60.97,342239,1276,2043,68,1051,0,1051,2587,2019,568,47,33,734,6661,16313,4706,11607,7178,938,7286,63,1130,26519,399,2730,44,5691,0,4670,63787,151248,322447,577535,2317,930,204,262.4132613
SIKKIM,2002,486752,60588,547340,291657,255647,146285,103330,249615,68.13,7096,13,5,2,6,0,6,9,2,7,0,0,5,66,64,5,59,15,3,48,0,2,50,0,17,0,3,0,7,170,485,1049,1,11671,10,6,88.61037015
TAMIL NADU,2002,35445506,27896257,63341763,31840521,31476042,23288664,18228614,41517278,74.11,130058,1723,2133,36,534,0,534,1001,714,287,176,25,653,5533,18755,4671,14084,4252,288,2017,121,850,25150,243,1877,1718,1052,0,10125,88680,166942,354174,2097,36,77,135,263.5575521
TRIPURA,2002,2690601,553390,3243991,1664723,1579554,1181776,907119,2088895,73.84,10486,201,38,1,108,0,108,128,48,80,29,0,56,192,270,51,219,180,12,20,7,40,518,16,128,0,236,0,46,849,3075,6656,0,5868,0,0,94.79064523
UTTAR PRADESH,2002,134159847,35195834,169355681,89053980,80205203,50564061,28319671,78883732,57.28,240928,6825,6283,1243,1415,1,1414,3430,2298,1132,552,59,2840,6126,22419,6353,16066,4878,2738,5026,127,643,13947,1893,2145,1887,5679,0,7313,48569,146037,319338,7927,537,61,1826,86.23094256
UTTARAKHAND,2002,6423859,2218297,8642156,4399464,4234203,3084096,2174492,5258588,72.26,53483,292,249,47,89,0,89,198,155,43,32,6,177,554,1365,374,991,342,145,312,8,40,760,66,145,97,316,1,440,2295,7976,17604,99,12426,3,27,92.2917846
WEST BENGAL,2002,58499682,22718805,81218487,41963576,39252154,28028926,20415270,48444196,69.39,88752,1444,413,540,759,0,759,831,694,137,204,646,544,348,12449,2458,9991,2461,451,1315,98,114,3112,273,964,34,4069,1,2703,25189,58962,131963,4,885,12,175,72.59677221
A& N ISLANDS,2003,243276,117807,361083,194905,165998,150078,110598,260785,82.1,8249,21,4,1,2,0,2,2,2,0,2,0,7,56,60,3,57,19,3,13,0,8,110,0,9,2,7,0,0,318,644,1352,0,10865,1,6,178.3523456
ANDHRA PRADESH,2003,56626593,21269254,77895847,39278468,38577149,24439807,17664001,41792426,61.6,275045,2667,1678,147,946,0,946,1485,931,554,176,5,660,9050,23408,4521,18887,2328,1099,7581,318,1049,41545,466,4128,2286,8167,5,8515,39242,156951,339741,3559,22,571,1463,201.488277
ARUNACHAL PRADESH,2003,910571,238483,1149054,604553,545313,327102,204322,531424,56.3,83743,77,20,3,31,0,31,68,51,17,37,0,60,253,370,50,320,7,28,21,7,10,427,0,43,0,14,0,0,585,2061,4591,0,17175,66,18,179.3649385
ASSAM,2003,23965151,3550177,27515328,14193447,13325321,8620044,6302111,14922155,64.8,78438,1191,485,48,1095,0,1095,1628,1351,277,471,26,523,2606,5525,406,5119,3340,611,894,58,677,4952,60,878,6,1808,0,2086,9227,38195,84638,67,150,20,19,138.8135369
BIHAR,2003,77774590,9085755,86860345,45344405,41604460,22501048,12026441,34527489,49.6,94163,3771,3540,298,985,0,985,2427,674,1753,1221,120,2463,2986,10124,1357,8767,8029,1105,1947,92,669,8884,909,688,11,1880,37,2574,37503,92263,198062,1747,5920,56,56,106.2199327
CHANDIGARH,2003,95090,834594,929684,521231,409601,397366,275353,672719,82.7,114,21,15,2,18,0,18,32,28,4,3,1,12,204,1238,552,686,46,32,209,2,4,71,1,11,4,93,0,8,779,2806,6900,1,5202,0,40,301.822985
CHHATTISGARH,2003,17354615,4363393,21718008,10918753,10799255,7092494,4816556,11909050,65.72,135191,776,513,51,898,0,898,177,149,28,140,14,331,3621,4170,922,3248,703,76,412,24,151,3653,79,1481,105,601,0,1158,19315,38449,82143,709,196,774,614,177.0374152
D & N HAVELI,2003,185673,55105,240779,133880,107298,82911,38282,121193,61.01,491,11,5,0,1,0,1,7,4,3,4,0,6,41,61,15,46,17,8,13,2,4,22,0,4,0,2,0,1,129,338,745,0,3588,23,1,140.3776907
DAMAN & DIU,2003,109925,62505,172430,101993,70370,79465,40822,120287,79.89,112,11,5,0,1,0,1,7,4,3,4,0,6,41,61,15,46,17,8,13,2,4,22,0,4,0,2,0,1,129,338,745,0,24,1,6,196.021574
DELHI,2003,980966,13400857,14381823,7863436,6528656,5966101,4238045,10204146,82.56,16579,485,407,65,490,0,490,1156,797,359,28,107,441,1898,15544,7445,8099,80,431,2079,43,60,1708,130,489,105,1211,0,402,20045,47404,111998,13,9,0,516,329.610509
GOA,2003,687967,681348,1369315,697041,671827,555189,463396,1018585,82.83,3702,34,25,6,31,0,31,14,13,1,5,0,21,257,464,132,332,47,60,106,3,18,198,2,19,7,24,0,164,739,2244,4997,2,4190,0,57,163.8775592
GUJARAT,2003,32893717,19617871,52511588,27290311,25118162,18919319,12948289,31867608,72.63,196024,1114,478,29,236,0,236,1044,859,185,338,14,1267,5844,19304,7201,12103,1824,1873,1975,275,516,12611,54,722,92,3684,0,3536,46879,103709,228002,1165,83,241,665,197.49736
HARYANA,2003,15575170,6337435,21912605,11753611,10175747,7889592,4989926,12879518,69.82,44212,702,446,76,353,0,353,388,271,117,63,190,281,2981,5591,3079,2512,639,586,900,30,122,4153,222,344,1302,1618,0,971,16654,38612,83556,341,6284,0,287,176.2090815
HIMACHAL PRADESH,2003,5614683,609959,6224642,3164369,3065781,2321675,1856115,4177790,76.28,55673,125,74,5,126,0,126,113,96,17,8,0,19,707,627,218,409,610,63,130,3,121,1385,6,250,18,221,0,463,6937,12011,24888,71,4069,12,109,192.9588882
JAMMU & KASHMIR,2003,7966343,2628588,10594931,5599401,4995530,3265961,1925689,5191650,60.04,222236,929,1216,29,211,0,211,712,615,97,23,0,154,1526,1949,576,1373,1167,116,408,21,328,310,10,875,376,71,0,378,10424,21233,45338,0,788,1,49,200.407157
JHARKHAND,2003,21798551,6235887,28034438,14445991,13615104,8207340,4649613,12856953,56.05,79714,1482,957,109,712,0,712,487,262,225,702,37,864,1468,4155,564,3591,2481,265,479,5,147,3062,262,424,2,559,0,642,12902,32203,69760,76,2141,108,35,114.8694331
KARNATAKA,2003,35943553,18504415,54447968,27657359,26736031,18555309,13710015,32265324,66.12,191791,1506,1241,58,321,0,321,531,244,287,220,65,861,6055,14180,4296,9884,5784,495,2752,126,415,21913,194,1585,84,1704,0,172,52143,112405,239842,1844,2216,167,116,206.4448025
KERALA,2003,23810782,8349800,32160582,15577083,16569821,12932777,13065271,25998048,91.58,38863,435,448,343,394,0,394,189,102,87,142,19,634,4409,4891,1668,3223,6798,323,3061,129,413,17696,33,1947,68,2930,0,35,53487,98824,203122,439,4455,65,179,307.2829963
LAKSHADWEEP,2003,34088,27290,61378,31518,29874,25201,20986,46123,88.13,32,0,0,0,2,0,2,0,0,0,0,0,0,6,8,1,7,4,0,0,0,2,1,0,1,0,1,0,0,6,31,72,0,6425,0,1,50.50669621
MADHYA PRADESH,2003,46083372,16579659,62663031,32585810,30072107,20668182,12892984,33561166,68.53,308245,2227,2413,203,2738,0,2738,887,608,279,153,141,1578,12884,20422,5262,15160,2729,549,1222,38,868,29358,648,6848,705,2938,0,3778,97751,191078,406203,5507,0,1779,2662,304.9293929
MAHARASHTRA,2003,57463525,42343256,99806781,51872809,47911137,38687235,28467136,67154371,77.91,307713,2772,1412,113,1268,0,1268,926,626,300,514,249,2096,13892,37098,9271,27827,5714,1561,5005,261,1188,29205,368,2661,682,5452,0,9378,42491,164306,367904,697,14474,217,2001,164.624085
MANIPUR,2003,1645366,595716,2241082,1155596,1131978,810253,608332,1418585,71.85,22327,150,199,6,18,0,18,120,71,49,3,0,6,68,252,124,128,73,16,76,7,47,324,0,44,0,4,0,4,1120,2537,5464,0,13117,4,36,113.2042469
MEGHALAYA,2003,1959111,477099,2436210,1233216,1200585,665674,598180,1263854,64.7,22429,175,60,17,40,0,40,49,10,39,83,1,133,160,360,108,252,5,12,34,4,16,106,0,13,1,4,0,41,355,1669,3787,0,139,0,46,68.50805144
MIZORAM,2003,466561,459722,926283,476720,449885,366394,327739,694133,89.3,21081,46,36,3,54,0,54,8,2,6,5,0,21,487,1303,57,1246,3,19,60,12,23,142,0,88,0,3,0,11,1132,3456,8277,0,130,0,17,373.1041161
NAGALAND,2003,1643955,342101,1986056,1042329,944780,647883,503440,1151323,67.78,1483,91,34,8,14,0,14,38,3,35,19,0,92,95,221,37,184,8,3,11,7,5,48,0,4,2,0,1,41,234,976,2225,27,24,263,0,49.14262236
ODISHA,2003,32106182,5661618,37767800,19145117,18637286,12550323,8484850,21035173,65.04,155707,1044,1214,188,725,0,725,477,373,104,178,30,875,2961,5359,1076,4283,1408,254,937,11,337,4759,279,1669,188,1289,0,2497,20602,47281,101123,17,26,484,140,125.1886528
